ip_location,create_time,content,Topic,sentiment,Representation,Representative_Docs,theory,theme
Shanxi,2023-3-5 20:55,小三也能上户口吗,137,1,"['私生子', '户口', '落户', '三生', '继承', '财产', '小三', '原配', '那小三', '上户']","['私生子 户口', '私生子 户口', '私生子 户口']",Deinstitutionalization of Marriage,Legislation
Guangxi,2023-2-8 7:01,说的是道理。支持你！,30,0,"['支持', '唐唐', '非常', '赞成', '大力支持', '透支', '认可', '能力', '博士', '双手']","['支持', '支持', '支持']",Individualism,Diversity
Hainan,2024-6-13 15:02,事事顺利,167,0,"['事事', '顺利', '好事', '好消息', '好人', '事在人为', '财源滚滚', '世界', '善良', '万事如意']","['好事', '好事 乱', '好事']",Individualism,Diversity
Shaanxi,2022-12-22 12:10,没说清楚啊，出生证明给开不？户口都给正常上不？,41,0,"['出生证明', '出生证', '身份证', '户口本', '证明', '户口', '派出所', '办理', '需要', '补办']","['孩子 没有 出生证明 办 户口', '没有 出生证明 户口', '没有 出生证明 户口']",Deinstitutionalization of Marriage,Legislation
Shanxi,2023-2-15 10:08,山西也可以吗？,140,0,"['真不错', '房子', '猪笼', '古代', '动物', '人贩子', '卖不出去', '诚意金', '羊少', '山西']","['真不错', '真不错', '住 房子 真不错']",Deinstitutionalization of Marriage,Morality
Guangdong,2024-5-21 21:10,好像很好啊,36,0,"['问题', '电话', '解决', '咨询', '说话', '试试', '机构', '回复', '私信', '联系']","['没有 解决 根本 问题', '电话 告诉 想 打电话 咨询 一下', '电话 联系 一下']",Financial Cost,Healthcare
Guangxi,2024-6-11 21:33,哎我全是好处啊,24,0,"['全是', '好处', '不全是', '这全', '全都', '妈呀', '感觉', '竟然', '我天', '尽说']","['全是 好处', '全是 好处', '全是 好处']",Individualism,Diversity
Jiangsu,2024-6-2 23:45,理智的选择羡慕,0,0,"['有钱', '有钱人', '攒钱', '努力', '赚钱', '能力', '交钱', '价格', '挣钱', '经济']","['有钱 钱 干', '有钱', '有钱 真']",Financial Cost,Wealth
Hebei,2024-4-11 2:08,就是对孩子太不公平了,38,0,"['孩子', '小孩', '小孩子', '大人', '快乐', '感受', '02', '公平', '不动', '懂事']","['孩子', '孩子', '孩子']",Individualism,Traditional Family
Beijing,2023-7-25 20:50,评论区你要喷起码得喷清楚了。要搞清楚非婚生子女有三种情况。1：男女双方皆未婚。2：男女一方未婚。3双方已婚，但不是一对。所以不要误伤第一种……………,99,0,"['女性', '女人', '评论', '婚姻', '男人', '家庭', '孩子', '女生', '不用', '结婚']","['评论 区会 是因为 中国 发展 均衡 医疗 教育 已经 中国 退出 发展中国家 男宝们 不要 太 离谱 现在 已经 0 彩礼 女 不用 婚姻 一个 生育 登记 女朋友 生育 登记', '评论 区会 是因为 中国 发展 均衡 医疗 教育 中国 退出 发展中国家 男宝们 不要 太 离谱 现在 已经 0 彩礼 女 不用 婚姻 一个 生育 登记 女朋友 生育 登记', '普及 一下 婚姻法 \n 1 不领 结婚证 分开 顶多 算 分手 法律 头婚 \n 2 3 孩子 继承权 不用 承担 负债 \n 3 男方 男方 原生 家庭 欠下 债款 非婚 女方 孩子 不用 偿还 结婚 对象 承担 夫妻 共同 债务 \n 4 男方 犯罪 非婚 孩子 影响 上学 考公 合法婚姻 对象 必须 承担 女方 隐忍 报警 \n 5 . 不会 已婚 未育 找 不到 工作 \n 6 . 新 婚姻法 彩礼 退 嫁妆 赠予 法律 规定 本事 告 \n 7 : 没 结婚 打人 故意伤害 结婚证 打死 家庭 纠纷 结婚证 男人 合法 打人 保护伞 身强体壮 抗揍 打赢 太好了 \n 8 . 女方 遗产 赔偿 男方 男方 遗产 赔偿 父母 \n 重要 一条 妇科病 : 男性 带菌 发病 无症状 女性 接触 发病 女性 生理 结构 弱点']",Individualism,Individualism
Guangdong,2023-7-11 19:55,试管一个,12,0,"['试管', '试管婴儿', '国内', '单身', '未婚', '允许', '移植', '医院', '取卵', '受孕']","['试管', '试管', '试管']",Financial Cost,Healthcare
Zhejiang,2023-7-18 7:35,饥不择食了呗已经,49,0,"['打字', '复制', '宝宝', '泰裤', '不想', '抵制', '吓死', '啊啊啊', '音乐', '可怕']","['音乐 吓死人', '吓死', '吓死']",Deinstitutionalization of Marriage,Morality
Guizhou,2024-6-12 17:38,问题是女方有必要证据吗,129,0,"['证据', '证明', '必要', '有证', '提供', '没证', '相关', '予以', '无证', '驾驶']","['提供 必要 证据', '必要 证据', '“ ” 提供 必要 证据 证明 “ 须 ” 必须 “ 须 ”']",Deinstitutionalization of Marriage,Legislation
Hebei,2023-2-15 14:43,亲子鉴定又该挣钱了！,71,0,"['亲子鉴定', '鉴定', '亲生', '钱太难', '亲自', '禁止', '親子', '两千多', '亲子', '亲子关系']","['亲子鉴定', '亲子鉴定', '亲子鉴定']",Deinstitutionalization of Marriage,Legislation
Hubei,2024-6-11 1:39,领证容易，离婚难,96,0,"['领证', '好处', '感觉', '坏处', '领了', '后悔', '更好', '好像', '等价', '咱俩']","['领证 挺', '领证 挺', '听 领证 真']",Deinstitutionalization of Marriage,Legislation
Guangdong,2023-5-13 22:00,叨你好？二0五年不见乱讲。我的小孩去派出所上户囗。要交完超生款可以。不交你上不到户口就是无书读。,8,0,"['户口', '女方', '户口本', '结婚证', '男方', '落户', '上户', '小孩', '离婚', '前夫']","['没有 领 结婚证 孩子 户口', '错 孩子 生 户口', '户口 女方 没有 结婚证 小孩 迁 户口']",Deinstitutionalization of Marriage,Legislation
Jiangsu,2024-6-12 17:37,你应该艾特思聪,61,0,"['哈哈哈', '哈哈哈哈', '专用', '热度', '我天', '思聪', '快来', '码住', '四眼', '来来来']","['哈哈哈哈 哈哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈', '哈哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈', '哈哈哈哈 哈哈哈 哈哈哈 哈哈哈']",Individualism,Diversity
Sichuan,2022-8-22 3:41,"我是男的，支持女性自己的事情自己解决，千万不要结婚。
婚姻是坟墓，千万别结婚。",156,0,"['保护', '保障', '婚姻', '婚姻法', '财产', '弱者', '协议', '法律', '婚内', '事实']","['婚姻 保护 男人', '保护 婚姻', '婚姻 保护']",Deinstitutionalization of Marriage,Legislation
Jiangxi,2023-2-3 9:47,神经病啊，以后谁生孩子？,63,1,"['想要', '怀孕', '要生', '生个', '准备', '孩子', '想生', '身体', '老公', '不生']","['想要 孩子', '想要 一个 孩子', '想要 一个 孩子']",Deinstitutionalization of Marriage,Parenting Value
Zhejiang,2023-8-13 19:58,实际上这个女生的爸爸不太可能通过立遗嘱或者签订婚内财产约定书把财产都给她，不然就不会她这么大在外面生个儿子了,20,0,"['继承权', '继承', '私生子', '财产', '遗产', '生父', '享有', '婚生子', '非婚生子', '遗嘱']","['私生子 继承权', '私生子 继承权', '搜 私生子 继承权']",Deinstitutionalization of Marriage,Legislation
Guangdong,2023-2-1 19:52,很可怕，可能以后会存在“天下所有的情侣都是失散多年的兄妹”,6,1,"['同父异母', 'dna', '兄妹', '近亲', '近亲结婚', '以后', '兄弟姐妹', '亲兄妹', '同母异父', '谈恋爱']","['不会 出现 . 以后 对象 同父异母 兄妹 / 姐弟', '以后 同父异母 孩子 结婚', '以后 不会 同父异母 结婚']",Deinstitutionalization of Marriage,Morality
Shanxi,2023-2-1 21:26,这个专家叫啥，我要去和他媳妇进步进步,7,1,"['专家', '查查', '建议', '进步', '这位', '教授', '私生子', '是不是', '估计', '外面']","['专家', '搞 专家', '专家 住 帮']",Deinstitutionalization of Marriage,Morality
Guangdong,2022-10-28 1:16,我身边见过好几个去父留子了家庭了，未婚有经济能力养孩子，父母退休帮忙带孩子，孩子随母姓选择做未婚妈妈真的挺好的,1,0,"['父留子', '留子', '去母', '父留', '母留子', '去夫', '哈哈哈', '经济', '支持', '想法']","['笑 死 父留子', '“ 父留子 ”', '“ 父留子 ”']",Individualism,Individualism
Guangdong,2024-6-12 3:06,也就是说，没有缺点！！,37,0,"['缺点', '优点', '说完', '电子版', '全是', '不说', '没有', '承诺', '我勒个', '这全']","['缺点 优点', '全 优点 没 缺点', '缺点 没有 缺点 优点']",Individualism,Diversity
Zhejiang,2023-8-21 14:51,·     𝓤𝓹  好厉害,49,0,"['打字', '复制', '宝宝', '泰裤', '不想', '抵制', '吓死', '啊啊啊', '音乐', '可怕']","['音乐 吓死人', '吓死', '吓死']",Deinstitutionalization of Marriage,Morality
Henan,2023-11-21 7:34,那个时候敢去做微商自己成立品牌的头一部分人基本都赚大钱了，她成功的时候同龄人还在上学，唉,0,0,"['有钱', '有钱人', '攒钱', '努力', '赚钱', '能力', '交钱', '价格', '挣钱', '经济']","['有钱 钱 干', '有钱', '有钱 真']",Financial Cost,Wealth
Hubei,2023-8-17 15:46,我靠，那男方不同意生  她私下生要付抚养费吗？,111,0,"['抚养费', '男方', '索要', '事后', '女方', '生下', '遗产', '同意', '将来', '支付']","['女 抚养权 男 出 抚养费 很多 骂 女 贪 想要 孩子 男 出 抚养费', '2 + 1 生 孩子 男方 是不是 支付 抚养费', '女方 想要 小孩 没 能力 带 男方 抚养费']",Deinstitutionalization of Marriage,Legislation
Guangxi,2022-5-6 17:27,我没结婚证，我小孩上了户口了，上在小孩爸家，我什么征没有,8,0,"['户口', '女方', '户口本', '结婚证', '男方', '落户', '上户', '小孩', '离婚', '前夫']","['没有 领 结婚证 孩子 户口', '错 孩子 生 户口', '户口 女方 没有 结婚证 小孩 迁 户口']",Deinstitutionalization of Marriage,Legislation
Guangdong,2023-7-17 21:09,韭菜少了，得使劲催生,47,1,"['韭菜', '资本', '饮鸩止渴', '不够', '资本家', '玩意', '玩意儿', '洗脑', '忽悠', '骗子']","['生 韭菜', '韭菜 割', '韭菜']",Reproduction,Population Growth
Jiangsu,2023-7-18 6:05,骗中国人生小孩,77,1,"['精子', '精子库', '子宫', '人工授精', '捐精', '国外', '人造', '人工受孕', '人工', '辅助']","['问 一下 这种 精子', '没有 精子 怀', '生 没有 精子']",Financial Cost,Healthcare
Hubei,2023-7-18 6:14,五月生的孩子。到现在没有领到生育津贴，说是要等到九月份,60,0,"['津贴', '生育', '准生证', '补贴', '领到', '结婚证', '社保', '领取', '享受', '齐全']","['结婚证 准生证 没有 生育 津贴', '结婚证 准生证 没有 生育 津贴', '结婚证 准生证 没有 生育 津贴']",Deinstitutionalization of Marriage,Legislation
Guangdong,2023-12-10 15:50,急急急，拜托律师回复一下,76,0,"['律师', '张律师', '咨询', '停车位', '金马', '我车', '你好', '合同', '车辆', '工程']","['律师', '律师', '律师']",Deinstitutionalization of Marriage,Legislation
Henan,2023-7-18 6:45,助推社会不良风气，无所谓的，反正富人的受益大于穷人,167,1,"['事事', '顺利', '好事', '好消息', '好人', '事在人为', '财源滚滚', '世界', '善良', '万事如意']","['好事', '好事 乱', '好事']",Individualism,Diversity
Jiangsu,2024-5-12 16:04,你哪来的钱呢？,0,0,"['有钱', '有钱人', '攒钱', '努力', '赚钱', '能力', '交钱', '价格', '挣钱', '经济']","['有钱 钱 干', '有钱', '有钱 真']",Financial Cost,Wealth
Xinjiang,2023-11-5 10:46,以后就找个摩梭人吧,68,0,"['单身', '大龄', '剩女', '硕士', '光棍', '孤独', '88', '未婚', '学历', '付费']","['帅 单身', '单身', '单身']",Deinstitutionalization of Marriage,Marriage
Hubei,2023-7-18 12:14,真搞不懂评论区恶意怎么这么大，人家单身妹子可以通过试管还有捐精一个人完成啊，怎么就成小三小四的了，也许人家就是看透了婚姻不想结但是想要一个自己的孩子而已,12,1,"['试管', '试管婴儿', '国内', '单身', '未婚', '允许', '移植', '医院', '取卵', '受孕']","['试管', '试管', '试管']",Financial Cost,Healthcare
Hebei,2022-7-3 18:39,要是这样也免得有婆媳矛盾了，不过单身男要在这社会上乱套了,68,1,"['单身', '大龄', '剩女', '硕士', '光棍', '孤独', '88', '未婚', '学历', '付费']","['帅 单身', '单身', '单身']",Deinstitutionalization of Marriage,Marriage
Hainan,2023-2-10 16:52,杨律师您好男方未离婚，私生子户口随妈妈，现在想迁户口随爸爸需要什么办理呢,136,1,"['张律师', '你好', '您好', '律师', '离婚', '户口', '房子', '请问', '现在', '迁出']","['张律师 户口 不想 出生证 名字', '张律师 您好 捡 孩子 户口', '张律师 你好 想 问 一下 没有 领 结婚证 孩子 女方 抚养费']",Deinstitutionalization of Marriage,Legislation
Shanghai,2022-10-13 9:33,这样挺好的，不要跟男方姓，不要做怨妇，,44,0,"['改姓', '名字', '姓氏', '尊重', '文明礼仪', '母亲', '同意', '华夏', '随父', '离婚']","['改姓', '单亲 改姓', '离婚 改姓']",Individualism,Traditional Family
Guangdong,2023-7-18 10:50,哈哈哈哈,105,0,"['哈哈哈', '哈哈哈哈', '嘿嘿嘿', '特色', '骚刚', '阿哈', '玩梗怀', '波人', '瞎聊', '太窄']","['哈哈哈', '哈哈哈', '哈哈哈']",Individualism,Diversity
Sichuan,2023-2-5 9:34,这个意思是我们可以多找几个男人吗,13,0,"['男人', '男性', '女人', '男生', '男女平等', '光棍', '女生', '女孩', '干嘛', '支持']","['男人 死', '男人 真 没', '没 男人 死']",Individualism,Gender Equality
Jiangsu,2023-2-15 13:45,没有学区房，能上吗？,140,0,"['真不错', '房子', '猪笼', '古代', '动物', '人贩子', '卖不出去', '诚意金', '羊少', '山西']","['真不错', '真不错', '住 房子 真不错']",Deinstitutionalization of Marriage,Morality
Guangdong,2023-7-18 2:48,就是有钱的男人，可以找外面的女人，随便生啰。然后呢，普通的男人，又取不到。。要是这个女的一个人养不活孩子，是不是又可以找几个男的一起来养？多交几个男朋友，太乱了,99,1,"['女性', '女人', '评论', '婚姻', '男人', '家庭', '孩子', '女生', '不用', '结婚']","['评论 区会 是因为 中国 发展 均衡 医疗 教育 已经 中国 退出 发展中国家 男宝们 不要 太 离谱 现在 已经 0 彩礼 女 不用 婚姻 一个 生育 登记 女朋友 生育 登记', '评论 区会 是因为 中国 发展 均衡 医疗 教育 中国 退出 发展中国家 男宝们 不要 太 离谱 现在 已经 0 彩礼 女 不用 婚姻 一个 生育 登记 女朋友 生育 登记', '普及 一下 婚姻法 \n 1 不领 结婚证 分开 顶多 算 分手 法律 头婚 \n 2 3 孩子 继承权 不用 承担 负债 \n 3 男方 男方 原生 家庭 欠下 债款 非婚 女方 孩子 不用 偿还 结婚 对象 承担 夫妻 共同 债务 \n 4 男方 犯罪 非婚 孩子 影响 上学 考公 合法婚姻 对象 必须 承担 女方 隐忍 报警 \n 5 . 不会 已婚 未育 找 不到 工作 \n 6 . 新 婚姻法 彩礼 退 嫁妆 赠予 法律 规定 本事 告 \n 7 : 没 结婚 打人 故意伤害 结婚证 打死 家庭 纠纷 结婚证 男人 合法 打人 保护伞 身强体壮 抗揍 打赢 太好了 \n 8 . 女方 遗产 赔偿 男方 男方 遗产 赔偿 父母 \n 重要 一条 妇科病 : 男性 带菌 发病 无症状 女性 接触 发病 女性 生理 结构 弱点']",Individualism,Individualism
Heilongjiang,2022-11-22 23:00,没什么看法，最开始活的好不一定后来幸福呀，最开始幸福不一定后来快乐。人生是未知的…,87,0,"['生活', '方式', '人生', '日子', '羡慕', '一趟', '每个', '体验', '人间', '快乐']","['羡慕 方式 生活', '想 生活', '想 生活']",Individualism,Diversity
Guangdong,2023-7-17 23:55,未婚妈妈，只要不是破坏别人家庭的第三者，都支持！,54,0,"['小三', '第三者', '原配', '破坏', '继承权', '私生子', '当小三', '三生', '歧视', '小三小四']","['小三 孩子 没有 继承权', '小三 孩子 尼', '… 小三 孩子']",Deinstitutionalization of Marriage,Morality
Jiangsu,2024-3-12 0:21,消费让女性成为高等性别。,95,0,"['独立', '女性', '女人', '时代', '经济', '越来越', '现代', '真正', '自由', '思想']","['女性 现在 独立 越来越 挺', '新 时代 独立 女性', '独立 女性']",Individualism,Gender Equality
Guangxi,2023-2-14 15:26,2013年给我女上户口，讲要140OO。我反问办事人，现在国家不是有单亲妈妈可以上户口的吗？他讲我没收到文件。时隔半年叫去上户囗2元工本费！！！,8,0,"['户口', '女方', '户口本', '结婚证', '男方', '落户', '上户', '小孩', '离婚', '前夫']","['没有 领 结婚证 孩子 户口', '错 孩子 生 户口', '户口 女方 没有 结婚证 小孩 迁 户口']",Deinstitutionalization of Marriage,Legislation
Hunan,2023-7-18 9:05,我也准备做单亲妈妈,10,0,"['单亲', '单亲家庭', '妈妈', '单身', '双亲', '家庭', '成长', '爸爸', '心理', '父爱']","['支持 单亲 妈妈', '单亲 妈妈', '喊 单亲 妈妈']",Individualism,Traditional Family
Chongqing,2023-7-18 0:47,这算是变相给富人和种马🐴松绑？别说我心胸狭隘  现实是哪个女人不爱有钱人？  有些事情需要伦理道德的门槛  一旦没有  出生率是上来了  离婚率也高了,16,1,"['三妻四妾', '一夫多妻', '有钱人', '富人', '富豪', '一妻多夫', '穷人', '纳妾', '老婆', '变相']","['以后 三妻四妾', '三妻四妾', '三妻四妾']",Deinstitutionalization of Marriage,Morality
Guangdong,2023-2-2 2:45,这不方便我老公出去再找一个生孩子吗,63,0,"['想要', '怀孕', '要生', '生个', '准备', '孩子', '想生', '身体', '老公', '不生']","['想要 孩子', '想要 一个 孩子', '想要 一个 孩子']",Deinstitutionalization of Marriage,Parenting Value
Jiangsu,2023-8-18 14:49,怎么？人工受精也算吗？,77,0,"['精子', '精子库', '子宫', '人工授精', '捐精', '国外', '人造', '人工受孕', '人工', '辅助']","['问 一下 这种 精子', '没有 精子 怀', '生 没有 精子']",Financial Cost,Healthcare
Shandong,2023-2-3 13:04,开国际大玩乐以后就是私生子的天下了,17,1,"['私生子', '私生', '合法化', '无辜', '外面', '合法', '教授', '遍地', '家产', '规定']","['私生子', '私生子 ', '问 私生子']",Deinstitutionalization of Marriage,Morality
Heilongjiang,2023-2-19 19:19,哈哈哈精神哈哈哈哈哈，笑死了。,79,0,"['搞笑', '笑话', '可笑', '解说', '外孙', '弹幕', '挑着', '头像', '有意思', '幽默']","['搞笑', '搞笑', '听 蛮 搞笑']",Individualism,Diversity
Chongqing,2023-8-17 16:44,但凡你要得到钱都算你狠,0,1,"['有钱', '有钱人', '攒钱', '努力', '赚钱', '能力', '交钱', '价格', '挣钱', '经济']","['有钱 钱 干', '有钱', '有钱 真']",Financial Cost,Wealth
Hunan,2023-4-28 22:31,经济独立就会想要什么就有什么,95,0,"['独立', '女性', '女人', '时代', '经济', '越来越', '现代', '真正', '自由', '思想']","['女性 现在 独立 越来越 挺', '新 时代 独立 女性', '独立 女性']",Individualism,Gender Equality
Hubei,2024-6-12 12:03,╲      听起来好像，不是什么坏处,11,0,"['坏处', '好处', '全是', '起来', '利大于弊', '哈哈哈', '听到', '好像', '一听', '六个']","['坏处 听 想 好处', '坏处 好处', '坏处 好处']",Individualism,Diversity
Jiangsu,2024-6-8 21:11,挺好的哈哈哈哈哈哈哈哈哈哈,61,0,"['哈哈哈', '哈哈哈哈', '专用', '热度', '我天', '思聪', '快来', '码住', '四眼', '来来来']","['哈哈哈哈 哈哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈', '哈哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈', '哈哈哈哈 哈哈哈 哈哈哈 哈哈哈']",Individualism,Diversity
Xinjiang,2023-7-17 15:58,多好啊,128,0,"['太好了', '这好', '太好', '多好', '好样', '真好', '真是', '天好', '那太好', '监护权']","['太好了', '太好了', '太好了']",Individualism,Diversity
Zhejiang,2024-6-11 14:58,除了他的钱  不是我的钱这点   那他给我钱  我让他打到孩子账户上  就不用找我还了吧？,38,0,"['孩子', '小孩', '小孩子', '大人', '快乐', '感受', '02', '公平', '不动', '懂事']","['孩子', '孩子', '孩子']",Individualism,Traditional Family
Yunnan,2024-6-10 9:26,勇敢的人先享受世界,83,0,"['勇敢', '勇敢的人', '勇气', '享受', '世界', '佩服', '这句', '勇气可嘉', '你好', '好勇']","['勇敢', '勇敢', '勇敢']",Individualism,Diversity
Hubei,2023-7-17 21:09,废除婚姻吧，没意义了,154,1,"['取消', '结婚证', '婚姻登记', '婚姻法', '防火', '解除', '注销', '防盗', '撤销', '作废']","['结婚证 取消', '取消 结婚证', '取消 结婚证']",Deinstitutionalization of Marriage,Legislation
Chongqing,2022-10-18 0:19,我也是,4,0,"['严浩翔', '伟大', '推恩', '开绿灯', '林子', '暧昧', '泰裤', '操作', '黄色', '裂开']","['严浩翔 以后 不能 捐 一个', '严浩翔 捐 一个', '严浩翔 捐 一个']",Financial Cost,Healthcare
Guangdong,2024-6-9 18:46,笑死我,79,0,"['搞笑', '笑话', '可笑', '解说', '外孙', '弹幕', '挑着', '头像', '有意思', '幽默']","['搞笑', '搞笑', '听 蛮 搞笑']",Individualism,Diversity
Hebei,2023-6-28 22:08,人家那里居然可以未婚做试管了,12,0,"['试管', '试管婴儿', '国内', '单身', '未婚', '允许', '移植', '医院', '取卵', '受孕']","['试管', '试管', '试管']",Financial Cost,Healthcare
Sichuan,2023-2-2 17:23,生下来用科技与狠活来养？抓不住重点,31,1,"['人口', '主播', '增加', '增长', '生命', '人口数量', '红利', '不择手段', '国家', '底线']","['发 道德 人口', '人口 事', '人口 拼']",Reproduction,Population Growth
Heilongjiang,2022-11-9 17:16,不想结婚也不想要孩子,45,0,"['不想', '想要', '结婚', '想生', '孩子', '只想', '生个', '生小孩', '不生', '丁克']","['结婚 不想 生 孩子', '结婚 不想 生 孩子', '想 结婚 不想 生 孩子']",Deinstitutionalization of Marriage,Parenting Value
